"","longitude","latitude","name","values"
"267",-111.06799,32.30096,"TUCSON 10.3 WNW",1
"268",-110.82132,32.22624,"TUCSON 5.8 E",1
"269",-111.33305,32.4025,"MARANA 6.9 WSW",1
"270",-110.28038,31.52999,"SIERRA VISTA 1.8 SE",0
"271",-111.0396,31.437,"RIO RICO 4.4 WSW",3
"272",-112.34105,34.65743,"PRESCOTT VALLEY 3.7 NNW",1
"273",-111.00955,32.24226,"TUCSON 5.5 WNW",2
"274",-111.92173,33.39766,"TEMPE 1.5 SW",0
"275",-112.32403,33.58776,"EL MIRAGE 1.6 S",0
"276",-112.45887,33.51269,"LITCHFIELD PARK 6.5 WNW",0
"277",-110.1668,34.4969,"SNOWFLAKE 5.6 W",0
"278",-110.47139,31.55517,"SIERRA VISTA 10.1 W",2
"279",-112.60787,34.43489,"PRESCOTT 11.1 SW",0
"280",-111.91855,34.70633,"CORNVILLE 0.8 SSE",1
"281",-109.553,31.3379,"DOUGLAS 0.8 W",1
"282",-111.35059,34.24529,"PAYSON 2.0 WNW",0
"283",-112.0797,33.4761,"PHOENIX 2.6 NNW",0
"284",-111.75095,33.60271,"FOUNTAIN HILLS 2.4 WSW",1
"285",-110.84493,32.25549,"TUCSON 5.0 ENE",2
"286",-110.88284,32.53722,"SADDLEBROOKE 0.1 N",2
"287",-109.06,36.33,"BEAVER SPRING",0
"288",-109.16,33.9,"NUTRIOSO",0
"289",-111.74,35.27,"FORT VALLEY",1
"290",-111.51,34.97,"MORMON MTN SUMMIT",2
"291",-111.61,34.86,"BAR M",1
"292",-112.06,35.26,"CHALENDER",0
"293",-110.34832,31.95506,"BENSON 3.4 W",1
"294",-110.06591,34.43418,"TAYLOR 2.3 SE",0
"295",-111.01632,32.35128,"TUCSON 10.7 NNW",1
"296",-111.10154,32.34734,"TUCSON 13.8 NW",2
"297",-112.5278,34.7741,"CHINO VALLEY 4.7 WNW",0
"298",-110.97388,32.44762,"ORO VALLEY 4.1 NNW",1
"299",-111.93181,33.3949,"TEMPE 2.1 WSW",0
"300",-111.00981,31.86825,"GREEN VALLEY 1.2 W",2
"301",-111.68045,35.17385,"FLAGSTAFF 2.1 WSW",0
"302",-112.45359,33.57627,"WADDELL 0.2 W",0
"303",-112.41551,34.53406,"PRESCOTT 2.6 E",0
"304",-112.50264,34.51805,"PRESCOTT 2.9 WSW",2
"305",-111.62891,33.40252,"MESA 11.1 E",0
"306",-112.3523,34.60432,"PRESCOTT VALLEY 2.4 W",2
"307",-111.6763,35.1848,"FLAGSTAFF 1.5 WSW",0
"308",-111.4501,36.91254,"PAGE 0.2 N",0
"309",-112.48475,34.77481,"CHINO VALLEY 2.6 NW",0
"310",-112.47139,34.53401,"PRESCOTT 0.8 WSW",2
"311",-111.45333,35.2242,"FLAGSTAFF 11.4 ENE",0
"312",-111.84201,33.20467,"SUN LAKES 2.2 ESE",0
"313",-111.68373,35.16278,"FLAGSTAFF 2.7 SW",0
"314",-112.44352,34.62611,"PRESCOTT 6.0 N",1
"315",-112.51232,34.52453,"PRESCOTT 3.2 WSW",2
"316",-112.51605,34.58199,"PRESCOTT 3.9 NW",2
"317",-112.33086,34.66479,"PRESCOTT VALLEY 4.0 NNW",1
"318",-109.96927,34.15887,"PINETOP-LAKESIDE 1.4 NNW",1
"319",-112.01205,34.69985,"COTTONWOOD 2.2 SSW",0
"320",-111.59155,35.22401,"FLAGSTAFF 4.1 NE",0
"321",-110.76953,32.15725,"TUCSON 9.8 ESE",3
"322",-111.48835,35.26462,"FLAGSTAFF 10.5 ENE",0
"323",-112.64474,34.73592,"PRESCOTT 17.1 NW",1
"324",-112.50248,34.59122,"PRESCOTT 4.3 NW",1
"325",-110.96876,32.38429,"ORO VALLEY 0.6 SW",1
"326",-113.68124,35.03402,"KINGMAN 23.2 ESE",0
"327",-112.4746,34.59254,"PRESCOTT 3.7 NNW",1
"328",-112.50244,34.59626,"PRESCOTT 4.6 NNW",2
"329",-110.529,34.397,"OVERGAARD 1.4 ENE",1
"330",-110.73528,32.22785,"TUCSON 10.8 E",1
"331",-110.69799,32.3859,"MT. LEMMON WILLOW CANYON",1
"332",-111.7631,34.8551,"SEDONA 0.4 SSW",0
"333",-114.07253,35.94592,"MEADVIEW 3.8 S",0
"334",-111.12601,32.16555,"TUCSON 12.6 WSW",2
"335",-111.12987,32.12971,"VALENCIA WEST 1.1 E",2
"336",-112.11635,33.86407,"ANTHEM 0.9 NE",0
"337",-111.70984,33.2547,"GILBERT 7.7 SSE",0
"338",-110.91718,32.47762,"CATALINA 1.6 S",1
"339",-111.93105,33.56355,"PARADISE VALLEY 2.4 NNE",1
"340",-111.895,33.38493,"TEMPE 1.8 S",0
"341",-111.00908,31.87522,"GREEN VALLEY 1.5 NW",1
"342",-112.40998,33.64203,"SURPRISE 4.7 W",0
"343",-111.12705,32.18291,"SOUTH TUCSON 9.8 W",1
"344",-110.68967,31.97355,"VAIL 2.0 SSE",0
"345",-111.69302,33.27337,"GILBERT 7.3 SE",1
"346",-111.7595,33.3447,"GILBERT 1.2 ESE",1
"347",-111.52751,35.24726,"FLAGSTAFF 8.0 ENE",0
"348",-110.936,32.46341,"ORO VALLEY 5.3 NNE",2
"349",-111.6173,35.22343,"FLAGSTAFF 3.0 NE",0
"350",-111.71133,33.30046,"GILBERT 5.2 SE",0
"351",-110.80134,32.24152,"TUCSON 7.1 ENE",2
"352",-110.22271,31.89863,"ST. DAVID 0.6 SW",1
"353",-109.09806,31.80126,"PORTAL 8.2 SSE",0
"354",-111.79557,33.24931,"CHANDLER 4.3 SE",0
"355",-111.2866,33.29818,"QUEEN VALLEY 0.2 E",1
"356",-111.69463,33.48731,"MESA 8.6 ENE",1
"357",-111.77532,33.33939,"GILBERT 0.8 SSE",0
"358",-112.42534,33.6542,"SURPRISE 5.7 WNW",0
"359",-111.46706,35.2177,"FLAGSTAFF 10.5 E",0
"360",-110.01309,34.18959,"SHOW LOW 4.2 S",0
"361",-112.04965,33.62962,"PHOENIX 13.2 N",0
"362",-110.99238,33.34137,"MIAMI 8.3 WSW",0
"363",-110.9873,34.0964,"YOUNG 1.4 WSW",1
"364",-110.25197,31.49366,"SIERRA VISTA 4.8 SE",1
"365",-112.11786,34.31544,"CORDES LAKES 1.0 WNW",0
"366",-109.71042,32.68751,"SAFFORD 9.9 S",0
"367",-110.63935,31.66261,"SONOITA 1.5 SSE",1
"368",-112.22016,34.4958,"DEWEY-HUMBOLDT 2.6 SSE",2
"369",-110.64222,31.67028,"SONOITA 1.0 SE",1
"370",-112.35289,34.58877,"PRESCOTT VALLEY 2.8 WSW",3
"371",-112.33934,34.6344,"PRESCOTT VALLEY 2.4 NW",1
"372",-112.44239,34.58221,"PRESCOTT 3.1 NNE",1
"373",-112.48258,34.57027,"PRESCOTT 2.5 NNW",1
"374",-110.89038,32.24579,"TUCSON 2.5 NE",1
"375",-111.7604,33.3639,"GILBERT 1.5 NE",0
"376",-111.08479,32.30453,"TUCSON 11.3 WNW",2
"377",-111.25926,35.16644,"TWIN ARROWS",0
"378",-112.51054,34.50944,"PRESCOTT 3.6 SW",2
"379",-111.63362,35.20281,"FLAGSTAFF 1.3 NE",0
"380",-110.08434,34.49314,"SNOWFLAKE 1.4 SW",0
"381",-112.51218,34.65462,"PRESCOTT 8.5 NNW",1
"382",-110.05939,34.2457,"SHOW LOW 2.3 W",1
"383",-112.36305,33.48008,"GOODYEAR 3.5 NNW",0
"384",-109.2412,33.94175,"NUTRIOSO 1.9 WSW",0
"385",-112.44182,34.58157,"PRESCOTT 3.1 NNE",0
"386",-112.37403,34.57178,"PRESCOTT 5.4 ENE",2
"387",-114.31763,34.45591,"LAKE HAVASU CITY 2.0 S",0
"388",-111.57425,33.17884,"QUEEN CREEK 5.3 SE",1
"389",-110.96791,32.46199,"ORO VALLEY 5.0 N",1
"390",-111.09811,32.30685,"TUCSON 12.0 WNW",2
